title,author_name,first_publish_year,language,edition_count
Cloud Atlas,['David Mitchell'],2004,"['und', 'rus', 'fre', 'eng', 'ger']",41
Death in the Clouds,['Agatha Christie'],1935,"['jpn', 'eng', 'fre', 'ita', 'chi', 'ind', 'ger', 'spa']",107
Storm cloud marriage,['Roberta Leigh'],1987,['eng'],4
"Amulet, Book Three","['Kazu Kibuishi', 'Ediciones Lariviere']",2008,"['eng', 'spa']",16
Clouds of Witness,['Dorothy L. Sayers'],1926,"['rus', 'eng', 'ger', 'swe']",80
Cloud Cuckoo Land,['Anthony Doerr'],2021,"['eng', 'spa', 'ger']",20
Clouded rapture,['Margaret Pargeter'],1983,['eng'],1
Shapes in the Sky,"['Josepha Sherman', 'Omarr Wesley']",2003,['eng'],8
The Black Cloud,['Fred Hoyle'],1957,"['gre', 'und', 'eng']",36
The Purple Cloud,"['M. P. Shiel', 'J. J. Cameron', 'Brian Stableford']",1901,['eng'],56
Little Cloud,['Eric Carle'],1996,"['fre', 'eng', 'ger']",15
The Cloud Roads,"['Martha Wells', 'Chris Kipiniak']",2011,['eng'],4
Cloud nine,['Caryl Churchill'],1979,['eng'],9
Integrity,['Henry Cloud'],2006,['eng'],5
Fa Maru a Pula a Kokoana Setswana,['Bessie Head'],1968,"['und', 'eng']",21
When the clouds part,['Anne Hampson'],1973,['eng'],3
Boundaries,"['Henry Cloud', 'John Sims Townsend']",1992,['eng'],14
Cloud 9,['Caryl Churchill'],1983,['eng'],9
Clouds,['Aristophanes'],1715,"['mul', 'eng', 'lat', 'gre', 'grc', 'ita', 'ger', 'spa']",99
Pearl the Cloud Fairy,['Daisy Meadows'],2004,"['ger', 'spa', 'eng']",11
Segreto delle Fate delle Nuvole,['Elisabetta Dami'],2000,"['eng', 'ita']",6
Rainbow six,['Tom Clancy'],1998,"['chi', 'fre', 'eng']",25
Head in the clouds,['Karen Witemeyer'],2010,['eng'],3
The cloud with the silver lining,['C. Everard Palmer'],1966,"['und', 'eng']",9
Changes That Heal,['Henry Cloud'],1992,['eng'],6
Cloud of Sparrows,['Takashi Matsuoka'],2002,['eng'],14
The Edge of the Cloud,['K. M. Peyton'],1969,"['eng', 'und']",18
Storm Clouds Gathering,['Edwina Shore'],1988,"['und', 'eng']",2
